animal,augmentation,fold,n_train,n_val,n_train_groups,n_val_groups,group_violations,epochs,elapsed_s,accuracy,macro_f1,food_f1
dog,none,0,90,23,,,,9,2.0761802196502686,0.8695652173913043,0.8704453441295547,
dog,audio+specaugment,0,180,23,,,,22,3.362654209136963,0.9565217391304348,0.9568151147098516,
dog,none,1,90,23,,,,7,1.5870239734649658,0.6521739130434783,0.6523809523809524,
dog,audio+specaugment,1,180,23,,,,6,1.3798964023590088,0.6956521739130435,0.704014939309057,
dog,none,2,90,23,,,,23,2.8850960731506348,0.9565217391304348,0.9581699346405229,
dog,audio+specaugment,2,180,23,,,,8,1.5506551265716553,1.0,1.0,
dog,none,3,91,22,,,,11,1.770582675933838,0.8181818181818182,0.8233618233618234,
dog,audio+specaugment,3,182,22,,,,11,1.9035794734954834,0.8181818181818182,0.8233618233618234,
dog,none,4,91,22,,,,7,1.3786194324493408,0.8181818181818182,0.8175213675213676,
dog,audio+specaugment,4,182,22,,,,7,1.4778811931610107,0.7272727272727273,0.7321428571428572,
cat,none,0,322,118,16.0,5.0,0.0,10,2.077714681625366,0.5508474576271186,0.5215103554726196,0.33962264150943394
cat,audio+specaugment,0,554,118,16.0,5.0,0.0,6,1.7069714069366455,0.4661016949152542,0.42436040044493883,0.2903225806451613
cat,none,1,319,121,15.0,6.0,0.0,7,1.6725728511810303,0.6363636363636364,0.5656623275315683,0.33962264150943394
cat,audio+specaugment,1,548,121,15.0,6.0,0.0,6,1.7568013668060303,0.7272727272727273,0.6275211839121614,0.3157894736842105
cat,none,2,352,88,17.0,4.0,0.0,6,1.4527864456176758,0.36363636363636365,0.3414285714285714,0.16
cat,audio+specaugment,2,592,88,17.0,4.0,0.0,6,1.663696050643921,0.375,0.30644486294203804,0.05555555555555555
cat,none,3,327,113,15.0,6.0,0.0,8,1.8274543285369873,0.6902654867256637,0.660455486542443,0.6190476190476191
cat,audio+specaugment,3,559,113,15.0,6.0,0.0,10,2.5805749893188477,0.6637168141592921,0.614459030647278,0.4878048780487805
