animal,classifier,fold,n_train,n_val,group_violations,epochs,config,accuracy,macro_f1,food_f1,elapsed_s
dog,dense_head,0,90,23,,9.0,,0.8695652173913043,0.8704453441295547,,1.9262046813964844
dog,dummy_floor,0,90,23,,,,0.43478260869565216,0.20202020202020202,,0.0009999275207519531
dog,logreg,0,90,23,,,,0.9130434782608695,0.9153439153439153,,0.025857210159301758
dog,svm_linear,0,90,23,,,,0.9130434782608695,0.9153439153439153,,0.004503726959228516
dog,lda,0,90,23,,,,0.9130434782608695,0.9153439153439153,,0.557295560836792
dog,dense_head,1,90,23,,7.0,,0.6521739130434783,0.6523809523809524,,1.3252005577087402
dog,dummy_floor,1,90,23,,,,0.391304347826087,0.1875,,0.0
dog,logreg,1,90,23,,,,0.6521739130434783,0.6607142857142857,,0.030810117721557617
dog,svm_linear,1,90,23,,,,0.6521739130434783,0.6607142857142857,,0.0
dog,lda,1,90,23,,,,0.6521739130434783,0.6607142857142857,,0.5797410011291504
dog,dense_head,2,90,23,,23.0,,0.9565217391304348,0.9581699346405229,,2.9025919437408447
dog,dummy_floor,2,90,23,,,,0.391304347826087,0.1875,,0.0
dog,logreg,2,90,23,,,,0.8695652173913043,0.8713352007469654,,0.025691986083984375
dog,svm_linear,2,90,23,,,,0.782608695652174,0.7877385772122615,,0.0060613155364990234
dog,lda,2,90,23,,,,0.9130434782608695,0.9138888888888889,,0.5673692226409912
dog,dense_head,3,91,22,,11.0,,0.8181818181818182,0.8233618233618234,,1.756237506866455
dog,dummy_floor,3,91,22,,,,0.4090909090909091,0.19354838709677422,,0.000997781753540039
dog,logreg,3,91,22,,,,0.6818181818181818,0.6715617715617715,,0.02831292152404785
dog,svm_linear,3,91,22,,,,0.7272727272727273,0.7333333333333334,,0.0050008296966552734
dog,lda,3,91,22,,,,0.7272727272727273,0.7242465137201979,,0.5880064964294434
dog,dense_head,4,91,22,,7.0,,0.8181818181818182,0.8175213675213676,,1.347212314605713
dog,dummy_floor,4,91,22,,,,0.4090909090909091,0.19354838709677422,,0.0
dog,logreg,4,91,22,,,,0.8636363636363636,0.8694463431305537,,0.0281369686126709
dog,svm_linear,4,91,22,,,,0.7727272727272727,0.7737525632262474,,0.005003929138183594
dog,lda,4,91,22,,,,0.8181818181818182,0.8227513227513228,,0.5913450717926025
