animal,fold,n_train,n_val,group_violations,C,gamma,accuracy,macro_f1,food_f1,elapsed_s
dog,0,90,23,,0.1,scale,0.43478260869565216,0.20202020202020202,,0.004999876022338867
dog,0,90,23,,0.1,0.001,0.43478260869565216,0.20202020202020202,,0.004000186920166016
dog,0,90,23,,0.1,0.01,0.43478260869565216,0.20202020202020202,,0.004388332366943359
dog,0,90,23,,1.0,scale,0.6956521739130435,0.6914800175669741,,0.0050029754638671875
dog,0,90,23,,1.0,0.001,0.6521739130434783,0.6333333333333333,,0.004084110260009766
dog,0,90,23,,1.0,0.01,0.43478260869565216,0.20202020202020202,,0.0045092105865478516
dog,0,90,23,,10.0,scale,0.7391304347826086,0.7424242424242425,,0.004370927810668945
dog,0,90,23,,10.0,0.001,0.6521739130434783,0.6333333333333333,,0.005007505416870117
dog,0,90,23,,10.0,0.01,0.43478260869565216,0.20202020202020202,,0.004999637603759766
dog,1,90,23,,0.1,scale,0.30434782608695654,0.15555555555555556,,0.006015777587890625
dog,1,90,23,,0.1,0.001,0.30434782608695654,0.15555555555555556,,0.005013942718505859
dog,1,90,23,,0.1,0.01,0.30434782608695654,0.15555555555555556,,0.004010200500488281
dog,1,90,23,,1.0,scale,0.6086956521739131,0.6143790849673203,,0.004010915756225586
dog,1,90,23,,1.0,0.001,0.6086956521739131,0.6143790849673203,,0.004010438919067383
dog,1,90,23,,1.0,0.01,0.391304347826087,0.1875,,0.004010677337646484
dog,1,90,23,,10.0,scale,0.5652173913043478,0.5787037037037037,,0.006016254425048828
dog,1,90,23,,10.0,0.001,0.5652173913043478,0.5787037037037037,,0.005014657974243164
dog,1,90,23,,10.0,0.01,0.391304347826087,0.1875,,0.0060198307037353516
dog,2,90,23,,0.1,scale,0.30434782608695654,0.15555555555555556,,0.0
dog,2,90,23,,0.1,0.001,0.30434782608695654,0.15555555555555556,,0.01401066780090332
dog,2,90,23,,0.1,0.01,0.30434782608695654,0.15555555555555556,,0.0
dog,2,90,23,,1.0,scale,0.9130434782608695,0.9150997150997151,,0.00971364974975586
dog,2,90,23,,1.0,0.001,0.9130434782608695,0.9150997150997151,,0.0
dog,2,90,23,,1.0,0.01,0.391304347826087,0.1875,,0.015811920166015625
dog,2,90,23,,10.0,scale,0.8695652173913043,0.8711843711843712,,0.0
