animal,approach,fold,n_train,n_val,n_train_groups,n_val_groups,group_violations,epochs,elapsed_s,accuracy,macro_f1
dog,yamnet,0,90,23,,,,17,2.608372211456299,0.7391304347826086,0.7513197586727
dog,mobilenet,0,90,23,,,,9,1.6024916172027588,0.8695652173913043,0.8704453441295547
dog,yamnet,1,90,23,,,,17,2.4597551822662354,0.6956521739130435,0.6976657329598505
dog,mobilenet,1,90,23,,,,7,1.3886191844940186,0.6521739130434783,0.6523809523809524
dog,yamnet,2,90,23,,,,42,4.95328688621521,0.8695652173913043,0.8745098039215686
dog,mobilenet,2,90,23,,,,23,2.989973783493042,0.9565217391304348,0.9581699346405229
dog,yamnet,3,91,22,,,,27,3.4234137535095215,0.8181818181818182,0.810966810966811
dog,mobilenet,3,91,22,,,,11,1.803023099899292,0.8181818181818182,0.8233618233618234
dog,yamnet,4,91,22,,,,25,3.1819913387298584,0.8636363636363636,0.8584795321637427
dog,mobilenet,4,91,22,,,,7,1.396791696548462,0.8181818181818182,0.8175213675213676
cat,yamnet,0,322,118,16.0,5.0,0.0,6,1.61551833152771,0.2796610169491525,0.2605369212039797
cat,mobilenet,0,322,118,16.0,5.0,0.0,10,2.940419912338257,0.5508474576271186,0.5215103554726196
cat,yamnet,1,319,121,15.0,6.0,0.0,6,1.566725254058838,0.4380165289256198,0.39176470588235296
cat,mobilenet,1,319,121,15.0,6.0,0.0,7,1.7128427028656006,0.6363636363636364,0.5656623275315683
cat,yamnet,2,352,88,17.0,4.0,0.0,6,1.4566740989685059,0.4090909090909091,0.34449016437263635
cat,mobilenet,2,352,88,17.0,4.0,0.0,6,1.5738544464111328,0.36363636363636365,0.3414285714285714
cat,yamnet,3,327,113,15.0,6.0,0.0,10,2.0981810092926025,0.49557522123893805,0.4293434261251434
cat,mobilenet,3,327,113,15.0,6.0,0.0,8,1.8461408615112305,0.6902654867256637,0.660455486542443
