animal,condition,fold,n_train,n_val,group_violations,epochs,accuracy,macro_f1,food_f1
dog,RAW,0,90,23,,9,0.8695652173913043,0.8704453441295547,
dog,RAW,1,90,23,,7,0.6521739130434783,0.6523809523809524,
dog,RAW,2,90,23,,23,0.9565217391304348,0.9581699346405229,
dog,RAW,3,91,22,,11,0.8181818181818182,0.8233618233618234,
dog,RAW,4,91,22,,7,0.8181818181818182,0.8175213675213676,
dog,CLEAN,0,90,23,,7,0.782608695652174,0.7423510466988729,
dog,CLEAN,1,90,23,,13,0.9130434782608695,0.9153439153439153,
dog,CLEAN,2,90,23,,16,0.9130434782608695,0.9153439153439153,
dog,CLEAN,3,91,22,,7,0.6818181818181818,0.6934322986954565,
dog,CLEAN,4,91,22,,11,0.9090909090909091,0.9104377104377104,
cat,RAW,0,322,118,0.0,10,0.5508474576271186,0.5215103554726196,0.33962264150943394
cat,RAW,1,319,121,0.0,7,0.6363636363636364,0.5656623275315683,0.33962264150943394
cat,RAW,2,352,88,0.0,6,0.36363636363636365,0.3414285714285714,0.16
cat,RAW,3,327,113,0.0,8,0.6902654867256637,0.660455486542443,0.6190476190476191
cat,CLEAN,0,322,118,0.0,7,0.5423728813559322,0.5083483494698448,0.38461538461538464
cat,CLEAN,1,319,121,0.0,8,0.6033057851239669,0.5035970390932223,0.25
cat,CLEAN,2,352,88,0.0,6,0.3181818181818182,0.33050505050505047,0.15151515151515152
cat,CLEAN,3,327,113,0.0,7,0.6017699115044248,0.5349966526170876,0.4827586206896552
